Mairie;Label VVF;Adresse 1;Adresse 2;Boîte postale;Département;Code postal;Ville;wgs84
MAIRIE D'EAUBONNE;3 fleurs;Hôtel de Ville;1 rue d'Enghien;;95;95600;EAUBONNE;48.9910724, 2.2789854
MAIRIE D'OLLAINVILLE;2 fleurs;Hôtel de Ville;2 rue de la Mairie;;91;91340;OLLAINVILLE;48.5909568, 2.2171836
MAIRIE DE BAILLY-ROMAINVILLIERS;2 fleurs;Hôtel de Ville;51 rue de Paris;;77;77700;BAILLY ROMAINVILLIERS;48.8470158, 2.823775
MAIRIE DE BUC;2 fleurs;Hôtel de Ville;3 rue des Frères Robin;B.P. 90236;78;78532;BUC CEDEX;48.7748112, 2.1246662
MAIRIE DE GAGNY;4 fleurs;Hôtel de Ville;1 place Foch;;93;93220;GAGNY;48.8635041, 2.575157
MAIRIE DE GOUSSAINVILLE;2 fleurs;Hôtel de Ville;Place de la Charmeuse;;95;95191;GOUSSAINVILLE CEDEX;49.0327681, 2.4734199
MAIRIE DE GROSLAY;1 fleur;Hôtel de Ville;22 rue du Général leclerc;;95;95410;GROSLAY;48.9867207, 2.3451104
MAIRIE DE LA CHAPELLE-IGER;1 fleur;Hôtel de Ville;2 rue du Maréchal Leclerc;;77;77540;LA CHAPELLE-IGER;48.6520048, 2.9901192
MAIRIE DE LA FERTE-SOUS-JOUARRE;2 fleurs;Hôtel de Ville;Place de l'Hôtel de Ville;BP 45;77;77260;LA FERTE-SOUS-JOUARRE;48.950195, 3.129322
MAIRIE DE LIMEIL-BREVANNES;1 fleur;Hôtel de Ville;2 place Charles de Gaulle;;94;94450;LIMEIL BREVANNES;48.7494264, 2.4803666
MAIRIE DE MANTES-LA-JOLIE;3 fleurs;Hôtel de Ville;31 rue Gambetta;BP 1600;78;78200;MANTES LA JOLIE;48.9893796, 1.7152979
MAIRIE DE MARINES;2 fleurs;Hôtel de Ville;Place du Maréchal Leclerc;BP 21;95;95640;MARINES;49.145141, 1.982606
MAIRIE DE NANGIS;1 fleur;Hôtel de Ville;Rue du Maréchal de Lattre de Tassigny;B.P.55;77;77370;NANGIS;48.555402, 3.013792
MAIRIE DE NANTERRE;2 fleurs;Hôtel de Ville;88-188 rue du 8 Mai 1945;;92;92000;NANTERRE;48.8923373, 2.2067202
MAIRIE DE NEUILLY-SUR-MARNE;1 fleur;Hôtel de Ville;1 place François Mitterrand;;93;93330;NEUILLY-SUR-MARNE;48.8571267, 2.5286871
MAIRIE DE NOISIEL;3 fleurs;Hôtel de Ville;26 Place Emile Menier;;77;77186;NOISIEL;48.8548635, 2.6287589
MAIRIE DE POISSY;3 fleurs;Hôtel de Ville;Place de la République;;78;78300;POISSY;48.9277733, 2.0440274
MAIRIE DE ROMAINVILLE;2 fleurs;Hôtel de Ville;4 rue de Paris;;93;93231;ROMAINVILLE CEDEX;48.8846726, 2.4309526
MAIRIE DE SAINT-MAURICE;2 fleurs;Hôtel de Ville;55 rue du Maréchal Leclerc;;94;94410;SAINT MAURICE;48.8180226, 2.4263436
MAIRIE DE SOISY-SUR-SEINE;2 fleurs;Hôtel de Ville;Place du Général Leclerc;;91;91450;SOISY SUR SEINE;48.6539278, 2.411812
MAIRIE DE TRILPORT;2 fleurs;Hôtel de Ville;5 rue du Général de Gaulle;;77;77470;TRILPORT;48.9583194, 2.9467219
MAIRIE DE WISSOUS;2 fleurs;Hôtel de Ville;Place de la Libération;;91;91320;WISSOUS;48.7024611, 2.3207485
MAIRIE DU MEE-SUR-SEINE;4 fleurs;Hôtel de Ville;111 rue de la Vive;;77;77350;LE MEE-SUR-SEINE;48.5124495, 2.6245634
MAIRIE DE CHAMPS-SUR-MARNE;3 fleurs;Hôtel de Ville;1 rue de la mairie;BP 1 Champs-sur-Marne;77;77427;MARNE LA VALLEE CEDEX 2;48.852306, 2.602327
MAIRIE D'ANDILLY;2 fleurs;Hôtel de Ville;Rue René Cassin;;95;95580;ANDILLY;49.0054784, 2.3001671
MAIRIE D'AVON;3 fleurs;Hôtel de Ville;8 rue Père Maurice;;77;77216;AVON CEDEX;48.4049351, 2.7208826
MAIRIE D'EPINAY-SUR-SEINE;2 fleurs;Hôtel de Ville;1 rue Quétigny;;93;93800;EPINAY-SUR-SEINE;48.9517318, 2.3142335
MAIRIE DE BOINVILLE-EN-MANTOIS;2 fleurs;Hôtel de Ville;2 rue du Clos doré;;78;78930;BOINVILLE EN MANTOIS;48.9297917, 1.7565998
MAIRIE DE BOUTIGNY-SUR-ESSONNE;3 fleurs;Hôtel de Ville;11 bd Maurice Ouin;;91;91820;BOUTIGNY SUR ESSONNE;48.4374566, 2.380478
MAIRIE DE CESSON;1 fleur;Hôtel de Ville;8 route de Saint-Leu;B.P. 35;77;77245;CESSON CEDEX;48.56268, 2.6025648
MAIRIE DE CLICHY-LA-GARENNE;3 fleurs;Hôtel de Ville;80 bd Jean Jaurès;BP 300;92;92112;CLICHY LA GARENNE;48.9024706, 2.3042784
MAIRIE DE COUPVRAY;1 fleur;Hôtel de Ville;Place de la Mairie;;77;77700;COUPVRAY;48.891616, 2.7935884
MAIRIE DE CREGY-LES-MEAUX;1 fleur;Hôtel de Ville;23 rue Jean Jaurès;;77;77124;CREGY LES MEAUX;48.9781166, 2.8776526
MAIRIE DE DOMONT;2 fleurs;Hôtel de Ville;47 rue de la Mairie;;95;95330;DOMONT;49.027332, 2.3266483
MAIRIE DE FOURQUEUX;2 fleurs;Hôtel de Ville;1 place de la Grille;;78;78112;FOURQUEUX;48.8900126, 2.0632619
MAIRIE DE GRESSY;1 fleur;Hôtel de Ville;12 avenue du Château;;77;77410;GRESSY;48.9641417, 2.6741434
MAIRIE DE L'ILE-SAINT-DENIS;1 fleur;Hôtel de Ville;1 rue Méchin;;93;93450;L'ILE-SAINT-DENIS;48.9354998, 2.3405498
MAIRIE DE LIMAY;3 fleurs;Hôtel de Ville;5 avenue du Président Wilson;;78;78520;LIMAY;48.9920293, 1.735329
MAIRIE DE LIVRY-GARGAN;4 fleurs;Hôtel de Ville;3 place François Mittérand;BP 56;93;93891;LIVRY-GARGAN;48.9194303, 2.5374449
MAIRIE DE LOGNES;2 fleurs;Hôtel de Ville;6 Grande allée Charmilles;;77;77185;LOGNES;48.8351965, 2.6366717
MAIRIE DE MAGNY-LE-HONGRE;2 fleurs;Hôtel de Ville;21 rue du Moulin à Vent;;77;77700;MAGNY-LE-HONGRE;48.8661321, 2.8140467
MAIRIE DE MAROLLES-EN-BRIE (94);3 fleurs;Hôtel de Ville;Place Charles de Gaulle;;94;94440;MAROLLES-EN-BRIE;48.7524098, 2.4997758
MAIRIE DE MOISSY-CRAMAYEL;3 fleurs;Hôtel de Ville;6 place du Souvenir;BP 24;77;77557;MOISSY-CRAMAYEL;48.626733, 2.5932406
MAIRIE DE MONTEREAU-FAULT-YONNE;3 fleurs;Hôtel de Ville;54 rue Jean Jaurès;;77;77130;MONTEREAU FAULT YONNE;48.3847375, 2.9563587
MAIRIE DE MONTREUIL;2 fleurs;Hôtel de Ville;Place Jean Jaurès;;93;93105;MONTREUIL;48.8625448, 2.4423265
MAIRIE DE MONTROUGE;3 fleurs;Hôtel de Ville;43 avenue de la République;;92;92120;MONTROUGE;48.8189314, 2.3198979
MAIRIE DE MORANGIS;2 fleurs;Hôtel de Ville;12 avenue de la République;;91;91420;MORANGIS;48.7046755, 2.3320049
MAIRIE DE NANTEUIL-LES-MEAUX;2 fleurs;Hôtel de Ville;14 rue Benjamin Brunet;;77;77100;NANTEUIL-LES-MEAUX;48.9280414, 2.8963914
MAIRIE DE NOGENT-SUR-MARNE;3 fleurs;Hôtel de Ville;Square d'Estienne d'Orves;;94;94130;NOGENT-SUR-MARNE;48.8527446, 2.4545097
MAIRIE DE NOISY-LE-GRAND;2 fleurs;Hôtel de Ville;1 place de la Libération;BP 49;93;93161;NOISY-LE-GRAND;48.804355, 2.5359131
MAIRIE DE PANTIN;2 fleurs;Hôtel de Ville;84/88 avenue du Général Leclerc;;93;93507;PANTIN CEDEX;48.8970282, 2.4035563
MAIRIE DE PONTOISE;3 fleurs;Hôtel de Ville;2 rue Victor Hugo;B.P. 109;95;95300;PONTOISE;49.0511186, 2.1003972
MAIRIE DE SAINT-GERMAIN-LES-ARPAJON;2 fleurs;Hôtel de Ville;2 rue René Dècle;;91;91180;SAINT GERMAIN LES ARPAJON;48.5954162, 2.2553985
MAIRIE DE SAINT-GRATIEN;3 fleurs;Hôtel de Ville;Place Gambetta;;95;95210;SAINT GRATIEN;48.9526366, 2.2572532
MAIRIE DE SAINTE GENEVIEVE DES BOIS;4 fleurs;Hôtel de Ville;Place Roger Perriaud;;91;91700;SAINTE GENEVIEVE DES BOIS;48.6408872, 2.3260068
MAIRIE DE SURESNES;3 fleurs;Hôtel de Ville;2 rue Carnot;BP 24;92;92150;SURESNES;48.87097, 2.2249946
MAIRIE DE VILLECRESNES;1 fleur;Hôtel de Ville;Place Charles de Gaulle;;94;94440;VILLECRESNES;48.7494388, 2.4803692
MAIRIE DE VILLENEUVE-SAINT-GEORGES;1 fleur;Hôtel de Ville;20 place Pierre Sémard;;94;94190;VILLENEUVE SAINT GEORGES;48.72985, 2.4470183
MAIRIE DES MUREAUX;3 fleurs;Hôtel de Ville;Place de la liberation;;78;78130;LES MUREAUX;49.0399635, 1.9411943
MAIRIE DU CHATELET EN BRIE;3 fleurs;Hôtel de Ville;Place de l'Hôtel de Ville;;77;77820;LE CHATELET EN BRIE;48.5047182, 2.7942373
MAIRIE D'ELANCOURT;3 fleurs;Hôtel de Ville;Place du Général de Gaulle;;78;78990;ELANCOURT;48.7683911, 1.9484638
MAIRIE D'ESBLY;1 fleur;Hôtel de Ville;7 rue Victor Hugo;BP 20;77;77450;ESBLY;48.9008386, 2.8134957
MAIRIE D'HERICY;1 fleur;Hôtel de Ville;6-8 rue de l'Église;;77;77850;HERICY;48.4487545, 2.764675
MAIRIE D'OZOIR-LA-FERRIERE;3 fleurs;Hôtel de Ville;45 avenue du Général de Gaulle;;77;77330;OZOIR-LA-FERRIERE;48.7614876, 2.6717658
MAIRIE DE BONNEUIL-SUR-MARNE;3 fleurs;Hôtel de Ville;7 rue d'Estienne d'Orves;;94;94380;BONNEUIL SUR MARNE;48.7742189, 2.4874346
MAIRIE DE BRIIS-SOUS-FORGES;3 fleurs;Hôtel de Ville;Place de la Libération;;91;91640;BRIIS-SOUS-FORGES;48.6245346, 2.1248517
MAIRIE DE BRUEIL-EN-VEXIN;1 fleur;Hôtel de Ville;14 rue de l'Église;;78;78440;BRUEIL EN VEXIN;49.0300181, 1.8163474
MAIRIE DE BUCHELAY;3 fleurs;Hôtel de Ville;1 rue Gabriel Péri;;78;78200;BUCHELAY;48.9803782, 1.6719596
MAIRIE DE CHARENTON-LE-PONT;3 fleurs;Hôtel de Ville;48 rue de Paris;;94;94220;CHARENTON LE PONT;48.8197131, 2.4161278
MAIRIE DE COLLEGIEN;1 fleur;Hôtel de Ville;8 place Mireille Morvan;BP 80 - Collégien;77;77090;COLLEGIEN;48.8367897, 2.6721774
MAIRIE DE CORMEILLES-EN-PARISIS;3 fleurs;Hôtel de Ville;3 avenue Maurice Berteaux;;95;95240;CORMEILLES EN PARISIS;48.9760299, 2.1995218
MAIRIE DE COURDIMANCHE;1 fleur;Hôtel de Ville;Rue Vieille Saint Martin;;95;95800;COURDIMANCHE;49.0417202, 2.0053221
MAIRIE DE FONTENAY-LE-FLEURY;1 fleur;Hôtel de Ville;Place du 8 Mai 1945;;78;78330;FONTENAY LE FLEURY;48.7854533, 2.0563093
MAIRIE DE FRANCONVILLE;3 fleurs;Hôtel de Ville;11 rue de la Station;BP 90043;95;95132;FRANCONVILLE;48.9864964, 2.2299905
MAIRIE DE GARGES-LES-GONESSE;1 fleur;Hôtel de Ville;8 place de l'Hôtel de Ville;BP2;95;95141;GARGES-LES-GONESSE CEDEX;48.9719166, 2.3993369
MAIRIE DE LARDY;1 fleur;Hôtel de Ville;70 Grande Rue;;91;91510;LARDY;48.520246, 2.2647014
MAIRIE DE MONTEVRAIN;1 fleur;Hôtel de Ville;4 rue Bonne Mouche;;77;77144;MONTEVRAIN;48.8750143, 2.745294
MAIRIE DE MONTGERON;2 fleurs;Hôtel de Ville;112 bis avenue de la République;;91;91230;MONTGERON;48.7040316, 2.4602221
MAIRIE DE MONTIGNY-LE-BRETONNEUX;1 fleur;Hôtel de Ville;66 rue de la Mare aux Carats;;78;78180;MONTIGNY-LE-BRETONNEUX;48.7679377, 2.0366938
MAIRIE DE TORCY;2 fleurs;Hôtel de Ville;Place de l'Appel du 18 Juin 1940;;77;77207;TORCY CEDEX 01;48.849672, 2.6522491
MAIRIE DE VAUHALLAN;1 fleur;Hôtel de Ville;10 Grande Rue du 8 mai 1945;;91;91430;VAUHALLAN;48.7337447, 2.2072937
MAIRIE DE VERNOU-LA-CELLE;1 fleur;Hôtel de Ville;41 rue de la Mairie;;77;77670;VERNOU LA CELLE SUR SEINE;48.3888656, 2.8471041
MAIRIE DE VIRY-CHATILLON;3 fleurs;Hôtel de Ville;28 place de la République;BP 43;91;91178;VIRY CHATILLON;48.6705276, 2.3750816
MAIRIE DE VOISINS-LE-BRETONNEUX;2 fleurs;Hôtel de Ville;1 place Charles de Gaulle;B.P. 30036;78;78960;VOISINS LE BRETONNEUX;48.7586622, 2.0500781
